Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,Left Eyebrow to Eye Height,Right Eyebrow to Eye Height,MouthHeight,
Neutral,13.000000,15.033296,16.763055,18.027756,52.801515,115.879247,34.085412,
Neutral,13.038405,14.035669,16.763055,16.763055,52.630789,113.652981,33.567326,
Neutral,9.000000,11.045361,18.973666,18.027756,58.008620,120.540450,35.564779,
Neutral,9.055385,11.045361,18.973666,18.027756,56.612719,119.230868,35.565694,
Neutral,10.000000,10.000000,18.027756,17.720045,57.201399,119.620232,35.045814,
Happy,12.041595,12.165525,15.132746,13.601471,50.000000,39.812058,39.523628,
Happy,12.165525,12.000000,14.317821,14.560220,50.606324,40.792156,41.000000,
Happy,12.041595,12.041595,15.132746,14.560220,50.000000,40.024992,41.523558,
Happy,12.041595,14.035669,15.132746,14.560220,50.000000,40.024992,41.000000,
Happy,9.000000,10.000000,16.763055,17.088007,59.169249,53.084838,51.538763,
Happy,9.055385,9.000000,17.464249,16.155494,61.400326,53.084838,50.559869,
Happy,9.000000,10.198039,17.720045,17.088007,60.539243,53.150729,50.559869,
Happy,10.000000,9.000000,17.720045,17.088007,60.539243,53.084838,50.580490,
Happy,10.049876,10.000000,18.681542,16.763055,61.057350,53.150729,50.559869,
Happy,10.049876,10.000000,18.681542,17.088007,61.057350,53.150729,50.580490,
Happy,11.045361,11.045361,18.027756,17.088007,61.057350,55.081757,45.572772,
Happy,11.045361,11.045361,19.313208,17.464249,61.587336,54.083269,45.118118,
Sad,12.041595,12.041595,17.088007,17.088007,51.312766,48.270074,22.498611,
Sad,11.045361,12.000000,17.464249,16.763055,52.478567,49.244289,23.503715,
Sad,10.049876,11.000000,18.384776,16.763055,53.851648,50.990195,25.567346,
Sad,11.000000,11.045361,18.384776,17.088007,52.697249,49.030603,24.519576,
Sad,11.000000,12.000000,18.027756,18.027756,50.774009,48.270074,24.016065,
Sad,12.041595,12.041595,18.384776,17.464249,51.312766,47.296934,24.535625,
Sad,11.045361,12.041595,17.464249,18.027756,51.312766,48.270074,24.509422,
Angry,12.000000,12.041595,14.866069,16.763055,41.725292,31.016125,34.488379,
Angry,14.000000,14.035669,14.560220,15.811388,41.109610,33.615473,33.014543,
Angry,13.000000,13.038405,14.560220,16.763055,42.520583,33.837849,33.501470,
Angry,13.000000,12.041595,15.524175,16.763055,42.449971,33.837849,33.996406,
Angry,13.000000,14.035669,14.560220,16.763055,42.449971,32.310989,34.514367,
Angry,13.038405,13.152946,15.811388,17.720045,41.036569,31.016125,34.020671,
Angry,13.000000,12.165525,15.524175,16.763055,42.426407,32.310989,35.012038,
Angry,13.038405,12.041595,15.524175,17.088007,41.725292,32.310989,34.501306,
Angry,12.000000,12.165525,13.341664,15.811388,38.288379,31.780497,32.507633,
Angry,9.000000,10.000000,13.601471,14.866069,39.623226,31.953091,35.012156,
Surprised,16.031220,16.124515,18.027756,15.811388,55.317267,44.721360,23.000000,
Surprised,16.031220,17.117243,18.681542,17.464249,51.855569,41.593269,23.476545,
Surprised,15.033296,16.031220,18.973666,16.763055,71.693793,65.192024,24.985363,
Surprised,16.031220,16.124515,18.973666,16.763055,67.416615,60.406953,25.452110,
Surprised,15.000000,16.124515,19.646883,16.492423,67.742158,61.294372,24.925768,
Surprised,18.027756,19.235384,19.416488,15.811388,63.513778,54.451814,23.433089,
Surprised,20.099751,20.099751,18.681542,16.492423,62.425956,53.600373,23.989626,
Surprised,14.000000,15.132746,19.924859,16.155494,66.730802,60.299254,23.990210,
Surprised,15.033296,16.031220,20.248457,18.027756,66.037868,60.299254,23.483318,
Surprised,14.000000,15.132746,20.248457,17.088007,65.192024,59.304300,23.975438,
Surprised,14.000000,14.035669,19.924859,17.720045,57.201399,46.389654,16.000000,
Surprised,16.000000,16.124515,19.924859,18.973666,55.443665,44.407207,14.000000,
Surprised,17.029386,17.262677,17.720045,17.720045,52.402290,40.447497,14.000000,
Surprised,18.000000,16.124515,19.416488,17.720045,51.739733,41.593269,14.000000,
Surprised,18.110770,18.027756,18.439089,18.027756,51.088159,39.458839,14.052747,
Neutral,9.055385,10.049876,20.124612,19.313208,62.425956,55.226805,38.019365,
Neutral,13.000000,15.132746,16.763055,16.552945,57.428216,48.259714,33.527442,
Neutral,13.000000,13.152946,16.763055,17.088007,56.612719,48.259714,33.527442,
Neutral,13.000000,13.152946,16.763055,16.155494,56.859476,47.265209,33.540010,
Neutral,13.000000,12.041595,17.088007,17.088007,56.612719,48.373546,34.048240,
