Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Neutral,11.000000,11.045361,15.297059,15.297059,53.254108,119.012604,28.000000,5.635000ms,
Neutral,12.000000,11.045361,16.278821,14.317821,53.254108,118.532696,27.988418,5.746000ms,
Neutral,9.055385,10.049876,15.524175,16.278821,56.302753,120.747671,35.573756,5.840000ms,
Neutral,10.049876,9.055385,15.297059,14.142136,54.918121,119.866593,36.051386,5.933000ms,
Neutral,11.045361,11.045361,16.492423,14.560220,53.823787,118.105885,34.507135,6.028000ms,
Neutral,11.045361,11.045361,15.297059,15.524175,53.823787,118.105885,34.507135,6.122000ms,
Neutral,12.000000,11.045361,15.132746,13.601471,53.600373,117.686023,32.045550,6.230000ms,
Neutral,11.045361,10.049876,16.124515,15.524175,53.823787,118.595953,33.080585,6.340000ms,
Neutral,11.045361,11.180340,16.124515,16.492423,54.405882,119.012604,31.550254,6.433000ms,
Neutral,11.000000,12.041595,16.124515,15.524175,53.823787,118.105885,35.026624,6.526000ms,
Neutral,11.045361,11.180340,14.035669,16.492423,54.405882,117.200683,39.010863,6.636000ms,
Happy,11.045361,11.045361,14.317821,16.763055,53.823787,119.920807,41.502608,6.734000ms,
Happy,10.000000,10.198039,16.278821,16.492423,54.918121,119.920807,45.000000,6.823000ms,
Surprised,9.055385,9.000000,17.262677,16.492423,56.603887,122.249744,48.110885,6.918000ms,
Happy,8.000000,9.000000,16.278821,16.492423,53.712196,121.852370,43.436914,7.043000ms,
Surprised,7.000000,9.000000,16.278821,17.720045,56.356011,123.567795,46.443380,7.138000ms,
Surprised,8.000000,8.000000,17.262677,18.027756,57.245087,123.975804,45.508226,7.228000ms,
Surprised,8.062258,9.000000,18.439089,18.681542,58.591808,123.567795,45.873706,7.323000ms,
Surprised,8.000000,8.000000,17.262677,18.681542,57.706152,123.166554,45.873706,7.417000ms,
Surprised,7.000000,8.062258,16.031220,17.720045,57.245087,122.249744,45.843802,7.526000ms,
Surprised,8.000000,9.000000,17.262677,15.811388,57.706152,122.772147,45.289757,7.635000ms,
Surprised,9.055385,9.000000,18.110770,16.763055,57.706152,122.772147,47.349103,7.730000ms,
Surprised,8.000000,9.055385,17.464249,15.811388,57.306195,121.461928,45.353122,7.822000ms,
Surprised,8.000000,8.000000,16.492423,15.811388,56.435804,121.461928,46.351112,7.933000ms,
Surprised,8.062258,8.000000,16.492423,15.811388,56.435804,121.461928,46.351112,8.027000ms,
Happy,8.062258,10.049876,16.124515,16.763055,56.938563,119.620232,45.921126,8.121000ms,
Surprised,8.062258,8.000000,16.031220,16.155494,55.009090,121.461928,47.094300,8.214000ms,
Happy,7.280110,8.000000,16.031220,15.524175,57.245087,118.186294,45.933248,8.339000ms,
Surprised,7.071068,8.062258,14.035669,14.317821,57.245087,119.436175,48.376747,8.433000ms,
Happy,8.062258,8.062258,14.142136,15.297059,55.470713,118.966382,45.946534,8.527000ms,
Happy,8.062258,8.062258,16.278821,15.524175,55.946403,121.202310,44.901169,8.621000ms,
Happy,7.000000,7.280110,15.524175,15.297059,56.080300,119.406867,46.148371,8.716000ms,
Surprised,9.000000,9.055385,17.262677,15.811388,56.938563,121.671689,48.090519,8.822000ms,
Surprised,7.000000,8.062258,18.439089,16.763055,56.435804,121.671689,47.065976,8.920000ms,
Happy,7.000000,8.246211,16.492423,16.492423,56.603887,120.768373,44.526984,9.028000ms,
Neutral,8.000000,9.000000,16.278821,15.524175,53.851648,120.341182,39.527149,9.121000ms,
Neutral,7.000000,9.055385,16.278821,15.524175,55.226805,122.102416,41.000000,9.229000ms,
Neutral,9.000000,9.055385,17.464249,15.524175,54.918121,119.920807,40.527116,9.325000ms,
Neutral,8.000000,9.000000,16.492423,16.492423,54.918121,119.920807,39.527149,9.419000ms,
Neutral,7.000000,8.000000,16.278821,15.297059,55.569776,120.341182,41.043049,9.511000ms,
Neutral,9.000000,8.000000,16.124515,16.492423,55.072679,121.247680,40.000000,9.620000ms,
Neutral,9.055385,8.062258,17.262677,17.088007,56.302753,121.247680,39.535279,9.730000ms,
Neutral,9.000000,8.000000,17.464249,16.155494,55.226805,122.155638,34.527314,9.825000ms,
Neutral,9.000000,9.055385,19.104973,16.155494,55.226805,120.830460,32.543640,9.918000ms,
Neutral,8.000000,9.000000,19.026298,15.811388,56.080300,121.671689,31.550990,10.012000ms,
Neutral,10.049876,9.055385,19.416488,16.763055,54.708317,120.768373,32.624444,10.121000ms,
Neutral,9.055385,9.000000,19.235384,16.278821,56.080300,120.341182,31.547361,10.214000ms,
Neutral,9.055385,9.000000,19.235384,16.278821,56.080300,120.341182,31.547361,10.322000ms,
Neutral,8.062258,8.062258,19.416488,16.492423,56.603887,121.202310,32.099891,10.419000ms,
Neutral,9.000000,9.055385,17.262677,15.811388,54.708317,120.768373,35.599169,10.527000ms,
Neutral,9.055385,9.000000,18.248288,16.155494,54.708317,120.830460,33.061132,10.620000ms,
Neutral,11.000000,10.049876,17.262677,16.763055,55.569776,122.155638,34.533759,10.717000ms,
Neutral,11.000000,11.180340,16.124515,16.492423,55.569776,120.303782,42.535180,10.810000ms,
Happy,12.041595,12.165525,16.124515,17.088007,54.378304,120.341182,46.000000,10.902000ms,
Surprised,12.041595,12.041595,16.124515,16.763055,54.918121,118.595953,46.538809,11.025000ms,
Neutral,13.038405,14.035669,16.278821,16.492423,53.535035,117.273185,35.061797,11.119000ms,
Neutral,14.000000,13.152946,16.278821,16.763055,52.697249,116.867446,32.000000,11.215000ms,
Neutral,12.041595,13.038405,14.317821,15.811388,54.083269,117.783700,41.066744,11.309000ms,
Happy,13.152946,13.038405,16.278821,16.552945,55.470713,119.100798,43.531325,11.419000ms,
Neutral,13.152946,13.341664,16.124515,16.492423,54.644304,115.952577,38.000000,11.511000ms,
Neutral,13.152946,13.152946,16.124515,16.492423,54.644304,115.550855,37.044855,11.620000ms,
Angry,12.041595,11.180340,16.492423,16.763055,62.769419,123.891081,39.000000,11.713000ms,
Neutral,11.180340,10.198039,17.464249,18.027756,62.769419,121.655251,40.000000,11.823000ms,
Neutral,13.000000,10.049876,15.132746,14.560220,50.477718,114.947814,38.044716,11.918000ms,
Neutral,11.180340,12.041595,15.033296,13.601471,48.600412,111.664677,38.000000,12.013000ms,
Neutral,11.045361,11.000000,13.038405,13.601471,48.010416,113.885908,39.000000,12.106000ms,
Neutral,11.045361,11.045361,14.035669,13.341664,48.259714,113.885908,38.601181,12.198000ms,
Neutral,11.045361,11.045361,14.035669,13.601471,46.872167,113.547347,38.577064,12.323000ms,
Neutral,11.045361,11.045361,13.038405,12.649111,46.872167,114.490174,39.061242,12.418000ms,
Neutral,10.049876,11.000000,13.038405,13.341664,48.010416,114.825955,39.527576,12.511000ms,
Neutral,11.000000,12.041595,13.152946,13.341664,46.615448,112.271991,37.532551,12.605000ms,
Neutral,15.033296,15.132746,15.033296,14.560220,50.803543,112.160599,37.533644,12.718000ms,
Neutral,16.124515,17.117243,15.000000,15.524175,55.226805,116.777566,37.064472,12.810000ms,
Neutral,16.124515,16.124515,13.152946,16.492423,55.470713,115.394974,37.047665,12.904000ms,
Neutral,16.124515,16.124515,14.000000,13.601471,54.918121,115.039124,36.000000,13.012000ms,
Neutral,16.124515,15.132746,14.000000,14.560220,54.083269,114.127122,37.056143,13.120000ms,
Neutral,17.117243,15.132746,14.142136,14.560220,53.535035,115.952577,37.000000,13.214000ms,
Neutral,14.035669,13.152946,14.035669,15.297059,51.865210,114.634201,38.000000,13.309000ms,
Surprised,13.152946,13.000000,17.262677,17.088007,63.285069,122.543870,37.538718,13.401000ms,
Neutral,14.035669,13.038405,15.033296,15.524175,56.080300,117.686023,38.056886,13.495000ms,
Neutral,14.035669,14.035669,16.124515,15.524175,57.706152,120.747671,36.525330,13.619000ms,
Neutral,14.142136,13.152946,15.132746,14.560220,58.668561,119.883277,37.530009,13.715000ms,
Neutral,14.035669,13.152946,15.033296,14.317821,59.941638,120.768373,36.534258,13.809000ms,
Surprised,14.000000,13.038405,14.035669,15.524175,59.941638,121.708669,37.000000,13.902000ms,
Surprised,14.035669,14.035669,15.132746,16.278821,61.294372,122.188379,39.000000,14.012000ms,
Surprised,15.033296,15.033296,15.524175,16.492423,63.529521,124.907966,38.000000,14.105000ms,
Angry,14.000000,13.152946,16.278821,15.811388,63.529521,124.823876,35.000000,14.199000ms,
Neutral,14.035669,13.152946,16.278821,14.560220,64.884513,123.065023,21.000000,14.308000ms,
Neutral,15.033296,14.035669,16.492423,16.124515,64.498062,122.188379,25.000000,14.427000ms,
Neutral,15.033296,14.035669,15.524175,14.317821,63.631753,122.588743,24.000000,14.511000ms,
Neutral,15.033296,14.035669,16.278821,15.297059,61.773781,123.004065,24.000000,14.605000ms,
Neutral,14.035669,15.132746,16.278821,15.811388,62.265560,122.118795,25.000000,14.700000ms,
Neutral,14.035669,15.132746,16.492423,15.811388,62.769419,122.118795,24.504128,14.795000ms,
Neutral,14.035669,15.132746,16.278821,15.811388,62.265560,122.118795,25.504062,14.902000ms,
Neutral,15.000000,15.033296,16.492423,15.524175,62.769419,121.708669,25.000000,15.011000ms,
Neutral,15.033296,15.033296,15.524175,17.720045,61.911227,122.118795,25.000000,15.107000ms,
Neutral,15.033296,13.038405,16.492423,16.492423,62.769419,122.588743,25.000000,15.198000ms,
Neutral,15.033296,14.035669,16.492423,15.524175,62.265560,120.768373,25.000000,15.310000ms,
Neutral,15.033296,15.033296,15.524175,15.297059,61.911227,121.198185,26.000000,15.411000ms,
Neutral,15.000000,13.152946,18.248288,16.763055,55.470713,116.468880,26.498364,15.501000ms,
Neutral,11.045361,11.045361,16.492423,14.866069,50.000000,117.046999,21.000000,15.590000ms,
Neutral,12.000000,12.165525,16.278821,13.601471,47.634021,113.529732,24.034018,15.698000ms,
Neutral,11.000000,12.165525,15.132746,15.297059,46.615448,115.108644,25.033833,15.808000ms,
Neutral,10.049876,12.165525,13.341664,13.601471,47.010637,113.841996,26.587683,15.901000ms,
Neutral,11.045361,11.045361,15.132746,14.560220,47.010637,112.578861,33.037908,15.996000ms,
Neutral,12.000000,11.045361,13.152946,13.601471,44.687806,111.628849,34.520107,16.091000ms,
Neutral,13.000000,11.045361,14.142136,15.297059,43.863424,110.679718,33.485956,16.198000ms,
Neutral,11.000000,12.041595,15.297059,15.297059,43.863424,111.000000,34.488468,16.307000ms,
Neutral,12.000000,12.649111,15.033296,15.811388,40.311289,110.054532,34.499686,16.401000ms,
Neutral,12.041595,12.165525,15.132746,14.560220,39.597980,109.444050,32.010492,16.495000ms,
Neutral,13.000000,13.038405,13.152946,14.317821,39.623226,109.444050,29.451561,16.605000ms,
Neutral,13.038405,13.152946,13.152946,15.297059,41.036569,108.503456,29.419733,16.698000ms,
Neutral,14.035669,13.341664,12.369317,14.560220,39.623226,108.166538,31.388308,16.793000ms,
Neutral,14.000000,14.142136,13.152946,14.142136,40.360872,108.784190,32.010492,16.886000ms,
Neutral,14.000000,13.341664,13.038405,15.524175,39.623226,108.466585,36.052832,16.996000ms,
Neutral,13.038405,13.341664,14.000000,12.369317,39.597980,106.606754,35.513987,17.106000ms,
Neutral,15.000000,14.317821,14.317821,13.152946,40.311289,104.694795,30.502666,17.198000ms,
Neutral,14.000000,14.035669,14.142136,12.369317,40.360872,106.606754,31.553732,17.292000ms,
Neutral,14.000000,15.132746,14.317821,12.165525,38.897301,106.606754,28.055730,17.387000ms,
Neutral,13.038405,14.142136,14.035669,13.601471,40.311289,108.166538,29.275290,17.496000ms,
Neutral,13.038405,15.132746,14.142136,14.142136,40.360872,108.166538,29.136823,17.590000ms,
Neutral,13.038405,13.152946,13.038405,14.560220,41.012193,110.054532,33.262114,17.697000ms,
Neutral,14.035669,13.152946,14.317821,13.601471,41.109610,108.784190,34.364207,17.791000ms,
Neutral,14.000000,13.152946,14.035669,14.317821,41.036569,110.054532,32.188472,17.907000ms,
Neutral,13.000000,12.165525,14.035669,13.152946,38.948684,107.837841,31.712524,17.997000ms,
Neutral,14.000000,13.152946,13.152946,14.317821,40.360872,106.892469,28.717879,18.090000ms,
Neutral,14.035669,14.142136,14.142136,14.142136,41.109610,106.892469,29.239421,18.182000ms,
Neutral,14.142136,14.142136,15.033296,14.142136,41.109610,105.948101,29.239421,18.291000ms,
Neutral,15.000000,13.152946,13.038405,14.317821,38.948684,108.784190,30.114915,18.402000ms,
Neutral,14.000000,13.152946,14.035669,15.297059,40.459857,107.517440,29.116250,18.496000ms,
Neutral,13.000000,14.142136,14.035669,15.132746,39.623226,106.892469,28.643789,18.590000ms,
Neutral,13.000000,14.142136,15.132746,15.132746,39.623226,106.892469,30.599661,18.682000ms,
Neutral,13.038405,13.038405,14.142136,14.035669,40.360872,106.569226,30.621624,18.794000ms,
Neutral,14.000000,13.152946,15.132746,14.560220,39.623226,107.517440,31.663408,18.885000ms,
Neutral,14.000000,14.142136,15.297059,14.142136,40.360872,107.517440,28.169240,18.995000ms,
