Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Neutral,12.000000,12.041595,18.439089,16.155494,55.217751,119.230868,29.923801,0.041000ms,
Neutral,12.000000,12.165525,17.464249,17.088007,53.600373,118.308918,30.943677,0.164000ms,
Neutral,12.000000,13.000000,17.262677,17.720045,54.644304,121.461928,29.398694,0.254000ms,
Neutral,12.000000,12.041595,17.464249,17.720045,54.405882,119.620232,28.961213,0.355000ms,
Neutral,12.000000,12.165525,18.248288,16.763055,55.217751,119.230868,29.969981,0.448000ms,
Neutral,12.041595,12.041595,17.464249,17.720045,54.405882,118.701306,29.961064,0.557000ms,
Neutral,12.000000,12.165525,18.248288,16.763055,55.217751,119.230868,30.481626,0.653000ms,
Neutral,11.045361,12.041595,17.464249,16.763055,54.405882,118.308918,29.485842,0.744000ms,
Neutral,12.000000,12.041595,17.262677,17.464249,54.405882,117.388245,30.485804,0.838000ms,
Neutral,11.045361,12.041595,17.464249,16.492423,54.405882,117.388245,29.451858,0.964000ms,
Neutral,12.041595,12.041595,17.262677,17.464249,54.405882,117.388245,31.962228,1.058000ms,
Neutral,13.000000,13.341664,16.031220,15.524175,53.823787,117.388245,35.473768,1.153000ms,
Neutral,13.038405,13.341664,15.033296,16.492423,53.823787,117.388245,34.478161,1.246000ms,
Neutral,13.000000,13.152946,16.124515,16.155494,52.430907,118.308918,35.062761,1.348000ms,
Neutral,12.165525,12.041595,16.124515,16.763055,53.600373,116.468880,37.528087,1.457000ms,
Neutral,13.152946,12.041595,16.000000,16.763055,54.405882,116.468880,36.036928,1.543000ms,
Neutral,13.038405,12.041595,16.031220,15.811388,53.254108,118.308918,37.000000,1.651000ms,
Neutral,12.041595,12.041595,16.031220,15.811388,53.823787,116.468880,37.515364,1.746000ms,
Neutral,14.035669,13.152946,16.031220,17.088007,53.823787,118.308918,42.523524,1.856000ms,
Neutral,13.152946,12.165525,16.000000,16.763055,53.823787,117.388245,40.519277,1.948000ms,
Neutral,13.038405,12.165525,16.124515,16.763055,53.254108,118.308918,40.527542,2.044000ms,
Surprised,11.045361,11.045361,15.132746,16.155494,55.470713,119.100798,48.514764,2.138000ms,
Surprised,6.082763,7.071068,16.124515,15.811388,57.454330,123.065023,48.991454,2.230000ms,
Surprised,8.000000,8.000000,17.464249,14.560220,54.918121,121.334249,48.994020,2.354000ms,
Surprised,9.000000,9.055385,17.262677,15.524175,54.918121,120.016666,50.001600,2.449000ms,
Surprised,8.062258,8.062258,17.117243,16.763055,56.603887,122.249744,51.497445,2.542000ms,
Surprised,8.000000,7.071068,16.278821,15.811388,54.378304,121.852370,51.001472,2.637000ms,
Surprised,7.000000,8.062258,17.117243,14.866069,55.226805,123.166554,51.006351,2.745000ms,
Surprised,9.000000,8.000000,17.262677,14.866069,53.851648,121.461928,51.509211,2.838000ms,
Surprised,7.000000,9.000000,17.262677,14.866069,55.758407,122.249744,52.005863,2.935000ms,
Surprised,7.000000,9.000000,17.117243,15.811388,56.603887,122.249744,51.989967,3.043000ms,
Surprised,8.000000,8.000000,16.278821,15.524175,55.758407,120.016666,49.007057,3.150000ms,
Neutral,8.062258,10.198039,16.124515,15.524175,56.603887,121.741529,33.981740,3.245000ms,
Neutral,10.000000,10.000000,17.117243,16.763055,54.708317,120.933866,27.464176,3.340000ms,
Neutral,12.165525,12.041595,17.262677,15.524175,55.758407,118.186294,21.493996,3.434000ms,
Neutral,13.152946,12.041595,17.262677,13.341664,57.454330,121.247680,10.499322,3.530000ms,
Neutral,14.035669,13.038405,19.104973,14.560220,56.603887,119.920807,7.970925,3.651000ms,
Neutral,16.031220,14.035669,20.024984,15.297059,56.938563,118.595953,10.000000,3.744000ms,
Neutral,16.031220,14.035669,19.000000,14.142136,57.454330,115.870618,6.084627,3.839000ms,
Neutral,16.031220,14.142136,18.027756,14.317821,56.938563,118.105885,4.542405,3.934000ms,
Neutral,16.031220,14.142136,19.026298,14.317821,56.938563,117.630778,4.102670,4.043000ms,
Neutral,16.000000,15.033296,18.000000,15.524175,55.072679,118.595953,3.080660,4.137000ms,
Neutral,15.033296,14.035669,19.000000,13.341664,56.435804,118.105885,2.611043,4.230000ms,
Neutral,15.000000,13.000000,18.027756,14.317821,57.306195,119.012604,1.073338,4.340000ms,
Neutral,14.000000,13.000000,18.000000,16.763055,57.801384,120.341182,0.388290,4.450000ms,
Neutral,16.031220,13.038405,19.026298,13.341664,56.938563,117.686023,1.353255,4.541000ms,
Neutral,14.035669,13.152946,18.110770,15.524175,56.302753,118.105885,20.044694,4.637000ms,
Neutral,12.041595,11.401754,16.031220,13.601471,53.851648,119.920807,28.487681,4.729000ms,
Neutral,11.045361,12.369317,15.297059,14.317821,54.918121,118.966382,31.511321,4.824000ms,
Neutral,9.055385,11.045361,16.031220,15.132746,57.688820,118.072012,28.020148,4.935000ms,
Neutral,11.000000,12.041595,16.124515,15.132746,55.470713,117.170815,27.020272,5.045000ms,
Neutral,10.000000,11.045361,16.278821,16.124515,55.470713,117.618026,25.503146,5.135000ms,
Neutral,11.000000,12.165525,15.297059,16.278821,54.405882,117.170815,27.503084,5.231000ms,
Neutral,11.000000,11.180340,16.492423,15.297059,55.470713,118.511603,27.000000,5.341000ms,
Neutral,9.000000,12.041595,16.278821,16.124515,56.035703,118.511603,28.000000,5.434000ms,
Neutral,11.000000,10.049876,16.124515,16.278821,55.470713,118.511603,28.518801,5.527000ms,
