Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Neutral,13.038405,14.000000,18.384776,17.888544,59.908263,51.156622,33.527442,12.009000ms,
Surprised,12.041595,12.041595,22.472205,20.615528,69.339743,59.000000,35.013887,12.104000ms,
Neutral,14.035669,13.038405,18.973666,18.384776,58.821765,50.249378,34.995140,12.213000ms,
Neutral,16.031220,16.031220,20.615528,19.924859,61.587336,53.338541,34.031783,12.305000ms,
Surprised,16.031220,16.031220,19.646883,18.973666,64.140471,56.222771,33.014401,12.412000ms,
Surprised,15.000000,17.029386,19.924859,18.027756,64.140471,55.326305,32.529273,12.507000ms,
Surprised,16.000000,17.029386,19.646883,18.027756,63.631753,55.226805,32.529273,12.600000ms,
Surprised,15.033296,16.031220,19.646883,18.973666,64.007812,56.222771,32.014949,12.693000ms,
Surprised,15.033296,17.029386,17.720045,18.973666,61.773781,55.226805,32.995114,12.806000ms,
Surprised,16.000000,17.029386,18.439089,18.973666,63.134776,55.226805,31.515682,12.913000ms,
Surprised,16.000000,15.132746,19.646883,19.313208,63.134776,55.145263,32.534592,13.007000ms,
