Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Neutral,14.000000,14.142136,16.763055,17.464249,54.203321,43.185646,36.526704,0.040000ms,
Neutral,13.000000,14.142136,15.811388,17.464249,54.203321,42.190046,37.020489,0.154000ms,
Neutral,14.000000,14.035669,15.811388,17.088007,54.203321,42.296572,37.500286,0.266000ms,
Neutral,13.000000,14.142136,17.088007,16.552945,55.000000,42.190046,37.526364,0.353000ms,
Neutral,13.038405,14.035669,15.811388,17.464249,54.817880,42.296572,37.020489,0.444000ms,
Neutral,13.000000,14.035669,17.088007,16.552945,55.000000,42.190046,37.020489,0.538000ms,
Neutral,14.000000,14.142136,17.088007,16.155494,54.817880,42.190046,37.003100,0.647000ms,
Neutral,14.000000,14.000000,17.088007,16.552945,55.000000,42.296572,37.526364,0.741000ms,
Neutral,13.038405,13.038405,16.155494,16.552945,54.203321,42.190046,37.047377,0.850000ms,
Neutral,13.038405,14.035669,16.155494,15.652476,54.817880,41.194660,36.020907,0.943000ms,
Neutral,13.038405,13.038405,16.763055,16.552945,55.803226,43.104524,37.994153,1.037000ms,
Neutral,14.000000,13.038405,16.492423,16.763055,55.803226,45.177428,38.502892,1.148000ms,
Neutral,13.038405,14.035669,16.492423,16.552945,56.612719,44.181444,39.011346,1.248000ms,
Happy,13.038405,13.152946,17.720045,17.088007,56.859476,46.097722,54.616907,1.344000ms,
Happy,11.045361,12.000000,17.464249,16.552945,56.859476,46.097722,49.039997,1.439000ms,
Happy,11.045361,13.038405,17.464249,17.088007,56.859476,46.097722,47.607198,1.553000ms,
Happy,12.041595,12.041595,17.464249,16.155494,56.612719,46.097722,48.109337,1.648000ms,
Happy,10.000000,13.038405,15.524175,16.552945,56.859476,46.043458,47.628190,1.741000ms,
Happy,10.049876,11.045361,15.524175,15.652476,55.470713,46.010868,47.607198,1.835000ms,
Happy,10.049876,12.041595,16.492423,16.155494,56.035703,47.042534,48.142540,1.946000ms,
Happy,9.055385,10.000000,16.492423,15.652476,56.859476,47.042534,49.115805,2.037000ms,
Happy,10.049876,10.049876,16.492423,15.231546,56.035703,46.097722,49.089550,2.133000ms,
Happy,10.049876,11.000000,17.262677,16.552945,56.859476,46.097722,49.620672,2.243000ms,
Happy,10.049876,10.049876,16.278821,16.552945,56.035703,46.043458,49.590824,2.336000ms,
Happy,10.049876,10.049876,16.492423,15.652476,55.470713,46.043458,49.089550,2.444000ms,
Happy,10.049876,10.049876,16.278821,15.652476,56.035703,45.044423,49.089550,2.539000ms,
Happy,10.049876,10.049876,16.492423,16.552945,56.035703,46.043458,50.088215,2.633000ms,
Happy,10.049876,11.000000,17.720045,16.552945,56.612719,46.043458,50.113635,2.725000ms,
Happy,10.049876,10.049876,16.763055,15.652476,56.035703,46.010868,49.583271,2.850000ms,
Happy,10.049876,10.049876,16.492423,15.652476,56.035703,46.010868,50.582343,2.945000ms,
Happy,10.049876,10.000000,16.492423,15.652476,54.644304,45.044423,50.625407,3.039000ms,
Happy,11.045361,11.045361,14.560220,15.231546,54.405882,45.177428,50.547489,3.133000ms,
Happy,14.035669,14.142136,16.492423,17.088007,55.605755,45.276926,46.510512,3.243000ms,
Surprised,14.000000,15.033296,15.811388,17.088007,54.405882,44.553339,34.526317,3.336000ms,
Neutral,14.000000,15.033296,16.492423,17.088007,55.217751,45.541190,34.028607,3.429000ms,
Neutral,15.033296,14.035669,16.492423,17.088007,55.803226,45.398238,34.029011,3.538000ms,
Neutral,10.000000,10.049876,18.027756,16.763055,66.370174,57.140179,37.526364,3.632000ms,
Neutral,13.038405,13.000000,18.027756,16.155494,56.612719,46.389654,36.063666,3.741000ms,
Neutral,14.035669,16.031220,17.464249,18.027756,56.859476,46.389654,36.552782,3.835000ms,
Neutral,14.142136,14.142136,17.720045,17.088007,59.908263,51.351728,36.047085,3.931000ms,
Neutral,13.000000,13.038405,17.720045,16.155494,63.285069,54.332311,36.029543,4.023000ms,
Surprised,13.000000,13.038405,19.924859,18.973666,65.000000,58.137767,33.569336,4.133000ms,
Surprised,14.035669,13.038405,18.681542,18.027756,65.000000,59.304300,34.040783,4.242000ms,
Surprised,14.000000,13.038405,19.313208,18.973666,66.730802,60.299254,34.040783,4.335000ms,
Surprised,12.041595,14.035669,19.924859,18.973666,66.730802,59.211485,34.031202,4.429000ms,
Surprised,12.000000,12.041595,18.681542,17.720045,66.241981,60.299254,33.040958,4.523000ms,
Surprised,13.000000,13.038405,17.720045,18.681542,65.368188,60.406953,32.521944,4.633000ms,
Surprised,13.038405,13.038405,19.646883,19.313208,67.601775,60.207973,33.556100,4.725000ms,
Surprised,12.041595,12.041595,18.973666,18.973666,68.095521,60.299254,34.022095,4.821000ms,
Surprised,13.000000,12.041595,19.924859,17.720045,66.730802,59.304300,34.031202,4.929000ms,
Surprised,14.035669,13.038405,18.681542,18.027756,67.230945,59.211485,34.514439,5.039000ms,
Surprised,12.000000,13.000000,18.681542,17.720045,65.863495,58.309519,35.031031,5.133000ms,
Surprised,12.041595,12.041595,19.646883,18.973666,65.368188,59.304300,34.012687,5.226000ms,
Surprised,13.000000,13.038405,18.439089,18.027756,64.498062,59.211485,34.541702,5.320000ms,
Surprised,12.041595,12.165525,18.681542,18.027756,65.368188,59.211485,35.039974,5.430000ms,
Surprised,14.035669,13.038405,18.439089,18.439089,64.498062,59.211485,34.503104,5.539000ms,
Surprised,13.000000,13.038405,18.973666,17.088007,64.498062,59.304300,34.040142,5.631000ms,
Surprised,13.038405,15.000000,18.681542,18.027756,64.498062,57.314920,34.516756,5.727000ms,
Surprised,13.038405,15.000000,17.720045,18.681542,64.498062,58.309519,34.030289,5.821000ms,
Surprised,9.000000,10.049876,19.924859,16.763055,71.119618,62.201286,35.021628,5.931000ms,
Neutral,8.062258,9.000000,17.720045,15.811388,63.631753,55.326305,38.012221,6.023000ms,
Neutral,11.045361,10.000000,14.560220,15.811388,50.219518,42.755117,37.550751,6.117000ms,
Angry,12.000000,12.041595,13.152946,14.866069,46.400431,36.878178,36.513552,6.224000ms,
Angry,12.041595,11.000000,12.369317,14.317821,46.227697,36.878178,36.019873,6.334000ms,
Angry,11.000000,11.045361,12.369317,13.928388,46.097722,34.928498,36.003319,6.429000ms,
Angry,12.000000,12.041595,12.165525,13.601471,45.453273,34.928498,35.490434,6.522000ms,
Angry,11.045361,10.000000,12.369317,14.560220,45.343136,34.928498,35.502948,6.616000ms,
Angry,11.045361,11.000000,13.341664,14.866069,45.453273,33.955854,35.502977,6.725000ms,
Angry,11.045361,11.045361,12.369317,13.601471,45.453273,34.205263,35.507200,6.820000ms,
Angry,12.041595,11.045361,13.152946,13.416408,44.821870,34.928498,35.011921,6.928000ms,
Angry,12.000000,12.000000,12.165525,13.601471,44.204072,34.928498,36.003287,7.023000ms,
Angry,13.000000,11.000000,13.601471,14.317821,45.453273,35.171011,36.500824,7.116000ms,
Angry,13.000000,11.000000,14.317821,13.928388,44.821870,35.171011,35.501152,7.227000ms,
Angry,12.041595,11.000000,14.142136,14.866069,44.821870,34.928498,35.011921,7.320000ms,
Angry,13.000000,11.000000,14.317821,13.928388,44.821870,35.171011,35.501152,7.415000ms,
Angry,13.038405,11.000000,14.560220,13.928388,46.227697,36.400549,36.003287,7.522000ms,
Angry,13.000000,13.000000,15.524175,14.866069,47.010637,37.107951,36.526210,7.632000ms,
Angry,13.000000,12.000000,15.297059,15.811388,46.400431,38.327536,36.526210,7.727000ms,
Angry,12.000000,12.041595,14.317821,14.866069,47.010637,37.107951,35.011921,7.820000ms,
Angry,13.000000,12.041595,14.317821,14.866069,47.010637,37.107951,35.030816,7.915000ms,
Angry,13.038405,12.041595,14.317821,14.866069,47.010637,37.107951,35.979334,8.023000ms,
Angry,13.038405,11.000000,14.560220,14.866069,46.227697,37.107951,36.003319,8.117000ms,
Angry,12.041595,12.000000,14.560220,14.866069,45.607017,37.363083,35.489695,8.227000ms,
Angry,12.000000,12.041595,14.317821,14.866069,45.607017,37.107951,35.531675,8.320000ms,
Angry,13.038405,12.000000,15.524175,14.866069,45.607017,37.363083,35.489695,8.414000ms,
Angry,12.041595,11.000000,14.142136,14.866069,46.400431,37.107951,33.501809,8.525000ms,
Happy,12.041595,13.038405,16.278821,16.763055,48.600412,38.078866,33.501646,8.615000ms,
Happy,14.000000,15.132746,20.615528,19.697716,56.859476,45.177428,46.041351,8.711000ms,
Happy,13.038405,14.035669,19.924859,20.124612,60.207973,51.039201,58.612600,8.805000ms,
Happy,11.045361,12.041595,18.681542,17.888544,60.745370,51.009803,46.094097,8.928000ms,
Happy,11.045361,10.000000,18.681542,17.464249,61.294372,52.038447,47.542063,9.024000ms,
Happy,10.049876,11.000000,19.924859,18.788294,60.207973,53.009433,47.585126,9.115000ms,
Happy,8.000000,9.219544,19.924859,18.384776,61.587336,53.009433,48.562195,9.212000ms,
Happy,9.000000,8.062258,19.313208,18.788294,62.968246,54.000000,48.040203,9.319000ms,
Happy,8.000000,8.000000,21.189620,18.027756,62.968246,53.037722,48.541188,9.413000ms,
Happy,8.000000,9.055385,19.924859,18.384776,61.294372,53.009433,49.039629,9.523000ms,
Happy,7.000000,9.000000,18.681542,17.464249,59.363288,49.040799,49.039629,9.617000ms,
Happy,8.000000,7.000000,16.492423,17.000000,52.430907,42.107007,48.541215,9.710000ms,
Happy,8.000000,8.000000,16.492423,16.552945,48.600412,39.204592,47.015906,9.819000ms,
Happy,8.000000,8.062258,16.278821,16.552945,45.221676,35.227830,46.041899,9.914000ms,
Angry,8.000000,8.062258,15.297059,16.155494,44.407207,35.355339,45.510645,10.008000ms,
Angry,8.000000,8.000000,14.317821,17.088007,43.600459,36.345564,46.478945,10.101000ms,
Angry,7.000000,7.000000,15.132746,16.155494,43.829214,35.355339,46.500647,10.225000ms,
Angry,8.000000,8.000000,14.142136,16.155494,42.801869,34.365681,46.458312,10.319000ms,
Angry,8.000000,8.000000,15.524175,16.124515,44.407207,35.355339,46.459688,10.414000ms,
Happy,8.062258,8.062258,14.317821,15.652476,45.000000,36.345564,46.501318,10.508000ms,
Happy,8.062258,8.062258,16.278821,15.652476,45.803930,36.345564,46.459688,10.616000ms,
Happy,8.062258,7.071068,15.811388,16.124515,45.803930,36.345564,47.542082,10.711000ms,
Happy,8.000000,8.000000,15.524175,16.552945,45.607017,35.355339,47.542082,10.804000ms,
Happy,10.000000,10.049876,19.646883,17.464249,53.823787,43.104524,45.543878,10.911000ms,
Happy,13.038405,12.041595,20.248457,19.697716,61.587336,53.084838,53.520588,11.008000ms,
Neutral,14.035669,16.124515,18.384776,17.888544,61.294372,51.039201,42.018836,11.117000ms,
Neutral,14.035669,16.124515,16.763055,17.088007,59.908263,51.244512,28.983352,11.211000ms,
Neutral,15.000000,16.031220,16.763055,18.027756,59.908263,52.239832,28.982165,11.303000ms,
Surprised,15.132746,16.031220,18.973666,17.720045,61.294372,53.150729,28.964160,11.399000ms,
Neutral,15.033296,16.031220,17.720045,18.027756,59.908263,50.249378,30.536603,11.523000ms,
Neutral,15.033296,15.132746,17.720045,18.027756,59.076222,50.249378,30.037333,11.617000ms,
Neutral,14.000000,16.124515,17.720045,18.027756,59.363288,49.162994,29.998910,11.710000ms,
Neutral,16.000000,17.117243,17.088007,17.464249,58.523500,49.162994,30.034286,11.804000ms,
Neutral,15.033296,15.033296,17.720045,18.027756,59.076222,49.254441,33.032198,11.899000ms,
