Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Happy,10.049876,10.049876,16.278821,15.524175,55.217751,121.247680,47.001766,0.043000ms,
Happy,11.045361,11.180340,16.492423,15.524175,56.612719,120.341182,47.472312,0.138000ms,
Happy,11.000000,11.045361,17.262677,16.492423,56.302753,121.247680,47.000000,0.263000ms,
Happy,10.000000,11.045361,17.262677,15.297059,55.470713,119.920807,46.000000,0.353000ms,
Happy,11.045361,11.045361,16.278821,15.524175,55.217751,120.830460,47.000000,0.446000ms,
