Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Neutral,13.038405,14.317821,13.152946,14.317821,52.201533,116.077560,37.498653,2.846000ms,
Neutral,13.152946,13.038405,13.038405,14.317821,52.430907,117.000000,37.494357,2.941000ms,
Neutral,14.142136,13.152946,13.000000,14.560220,52.430907,116.468880,38.011388,3.036000ms,
Neutral,12.041595,13.038405,13.038405,15.524175,52.430907,116.077560,39.034530,3.144000ms,
Happy,12.041595,12.041595,14.035669,16.492423,54.644304,115.550855,44.555338,3.239000ms,
Happy,12.041595,12.165525,15.132746,15.524175,56.302753,119.012604,45.513476,3.351000ms,
Neutral,12.000000,11.045361,16.124515,15.811388,57.454330,122.102416,43.039982,3.441000ms,
Neutral,11.045361,11.045361,16.124515,15.524175,57.801384,122.539789,43.950329,3.534000ms,
Happy,9.055385,9.000000,16.124515,15.524175,58.668561,123.438244,45.000000,3.643000ms,
Happy,7.071068,8.000000,16.124515,14.560220,59.539903,122.539789,47.000000,3.737000ms,
Neutral,8.000000,7.071068,16.124515,15.524175,59.539903,123.438244,46.000000,3.831000ms,
Happy,7.000000,8.246211,16.278821,15.297059,59.539903,122.983739,46.000000,3.940000ms,
Surprised,7.071068,7.071068,15.297059,14.866069,60.415230,123.878973,46.491533,4.049000ms,
Neutral,7.071068,7.071068,15.297059,14.866069,60.415230,123.878973,46.000000,4.143000ms,
Surprised,7.071068,8.062258,15.132746,14.560220,60.415230,124.338248,47.000000,4.237000ms,
Surprised,7.000000,7.000000,15.297059,15.297059,59.941638,125.219807,46.000000,4.332000ms,
Surprised,7.071068,7.071068,16.278821,14.317821,59.941638,124.775799,46.480812,4.440000ms,
Surprised,7.280110,7.000000,15.297059,14.560220,59.539903,124.338248,47.516756,4.534000ms,
Happy,7.000000,7.000000,15.132746,14.560220,59.059292,124.338248,46.000000,4.643000ms,
Happy,8.062258,8.062258,15.132746,15.524175,60.901560,121.642920,45.046909,4.736000ms,
Happy,13.152946,14.142136,15.132746,16.763055,57.454330,120.341182,44.000000,4.831000ms,
Neutral,14.035669,15.033296,15.132746,15.524175,55.226805,118.701306,42.518920,4.940000ms,
Neutral,12.041595,11.180340,15.297059,15.524175,59.539903,120.341182,37.562416,5.035000ms,
Neutral,9.219544,7.071068,15.297059,14.560220,62.649820,123.438244,39.108690,5.128000ms,
Neutral,12.165525,12.041595,15.132746,14.560220,56.435804,118.701306,36.634879,5.222000ms,
Neutral,13.038405,14.142136,14.000000,14.560220,53.712196,118.848643,37.655851,5.346000ms,
Neutral,13.038405,12.041595,15.000000,15.811388,54.708317,117.923704,37.179662,5.440000ms,
Neutral,13.152946,13.038405,14.035669,15.524175,55.569776,117.923704,37.655851,5.533000ms,
Neutral,13.038405,11.000000,15.297059,15.811388,57.801384,118.701306,38.756534,5.628000ms,
Neutral,10.198039,10.198039,15.033296,13.928388,57.801384,120.016666,39.612108,5.736000ms,
Neutral,13.152946,12.000000,15.033296,15.811388,54.708317,117.923704,38.571632,5.830000ms,
Neutral,12.000000,12.000000,15.033296,14.560220,53.000000,116.245430,36.539507,5.926000ms,
Neutral,11.045361,11.000000,16.124515,15.297059,62.265560,120.768373,40.027721,6.033000ms,
Neutral,11.045361,12.369317,16.000000,14.560220,55.946403,119.100798,38.028436,6.128000ms,
Neutral,13.038405,12.000000,14.035669,14.560220,53.851648,117.923704,37.063816,6.236000ms,
Neutral,12.041595,12.041595,15.033296,15.524175,53.535035,115.316955,37.115871,6.332000ms,
Neutral,13.152946,12.041595,15.033296,14.560220,53.535035,115.316955,39.098095,6.425000ms,
Neutral,12.165525,12.000000,14.142136,14.560220,54.203321,117.000000,37.048241,6.518000ms,
Neutral,11.045361,11.045361,16.124515,14.560220,64.498062,122.539789,37.089139,6.644000ms,
Neutral,12.041595,12.000000,15.297059,14.560220,56.603887,117.388245,34.559893,6.739000ms,
Neutral,13.152946,13.038405,16.031220,14.866069,54.378304,118.105885,34.071405,6.830000ms,
Neutral,12.041595,12.165525,15.033296,14.866069,54.918121,117.545736,33.558584,6.929000ms,
Neutral,13.152946,13.341664,15.000000,15.524175,54.083269,117.545736,28.114730,7.036000ms,
Surprised,14.142136,13.038405,16.031220,15.524175,54.083269,116.245430,14.524512,7.131000ms,
Surprised,14.142136,14.000000,16.031220,15.524175,51.865210,116.456000,13.049958,7.222000ms,
Surprised,13.152946,13.000000,14.000000,14.142136,52.153619,115.520561,13.049958,7.329000ms,
Surprised,13.152946,12.000000,13.000000,15.297059,49.929951,114.232220,13.558476,7.424000ms,
Surprised,13.038405,12.041595,15.033296,14.317821,50.477718,114.232220,15.028627,7.532000ms,
Surprised,13.152946,12.041595,15.033296,14.560220,49.929951,113.885908,14.007332,7.626000ms,
Surprised,13.152946,13.000000,15.033296,14.560220,49.929951,113.885908,14.538781,7.721000ms,
Surprised,13.038405,13.038405,16.031220,15.524175,50.477718,114.825955,13.508950,7.814000ms,
Surprised,13.152946,13.038405,17.029386,15.524175,51.039201,113.885908,12.997180,7.939000ms,
Surprised,13.038405,13.152946,14.000000,15.297059,49.091751,115.169440,12.540396,8.033000ms,
Surprised,12.041595,11.045361,15.000000,14.142136,49.396356,114.232220,13.555883,8.127000ms,
Surprised,12.165525,11.000000,16.000000,15.297059,49.396356,113.885908,12.051613,8.221000ms,
Surprised,13.038405,13.000000,17.029386,15.524175,51.312766,115.520561,15.090268,8.316000ms,
Surprised,15.033296,13.038405,17.029386,16.278821,55.569776,118.595953,16.509011,8.425000ms,
Surprised,15.033296,13.038405,16.031220,15.524175,56.080300,119.507322,22.548313,8.518000ms,
Neutral,15.033296,13.038405,17.029386,16.763055,56.080300,120.016666,33.014401,8.627000ms,
Neutral,15.132746,14.142136,17.029386,16.155494,56.603887,118.308918,36.555728,8.720000ms,
Neutral,15.033296,15.132746,15.033296,16.763055,55.758407,118.308918,36.498754,8.829000ms,
Neutral,16.031220,16.031220,15.033296,16.155494,55.226805,117.923704,37.513123,8.925000ms,
Neutral,14.142136,14.035669,16.124515,14.560220,59.539903,121.247680,38.029593,9.020000ms,
Surprised,13.152946,14.000000,16.031220,15.524175,62.177166,123.434193,38.049185,9.114000ms,
Surprised,13.038405,14.000000,17.117243,15.524175,63.953108,123.891081,39.030789,9.223000ms,
Surprised,13.152946,14.000000,17.117243,17.464249,64.412732,125.299641,39.039910,9.330000ms,
Surprised,13.000000,14.035669,17.117243,15.811388,63.505905,126.126920,37.012900,9.425000ms,
Surprised,15.132746,14.035669,16.031220,14.866069,63.071388,124.354332,37.064287,9.518000ms,
Surprised,18.027756,16.031220,18.110770,16.155494,63.953108,125.239770,26.958395,9.612000ms,
Surprised,17.117243,16.031220,18.000000,16.763055,63.071388,124.823876,21.000000,9.721000ms,
Surprised,17.117243,16.031220,18.027756,16.155494,61.717096,123.878973,13.629101,9.819000ms,
Surprised,17.117243,16.031220,19.235384,14.866069,64.412732,125.239770,10.065695,9.911000ms,
Surprised,18.248288,18.000000,19.104973,14.866069,63.063460,123.004065,10.608645,10.019000ms,
Surprised,18.248288,16.000000,19.104973,16.155494,60.033324,121.334249,12.113536,10.128000ms,
Neutral,11.180340,11.045361,20.099751,17.720045,64.884513,127.047235,17.129657,10.221000ms,
