Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Happy,11.000000,11.045361,17.262677,15.524175,55.803226,120.420098,47.000000,0.035000ms,
Happy,11.000000,11.045361,15.524175,15.524175,53.600373,120.016666,47.498235,0.160000ms,
Happy,11.000000,11.180340,16.278821,15.524175,54.644304,120.420098,47.000000,0.253000ms,
Happy,11.045361,11.045361,15.524175,15.524175,54.405882,120.016666,46.494028,0.352000ms,
Happy,11.000000,11.180340,15.297059,15.524175,53.009433,120.016666,46.000000,0.446000ms,
Happy,11.045361,12.041595,16.278821,15.524175,55.217751,119.100798,45.489689,0.552000ms,
Happy,11.000000,11.045361,15.524175,16.492423,53.823787,120.933866,46.000000,0.660000ms,
Happy,11.000000,11.000000,15.132746,16.763055,54.083269,121.461928,46.000000,0.752000ms,
Happy,10.198039,12.165525,15.132746,17.088007,56.302753,122.384640,46.548803,0.844000ms,
Happy,8.062258,9.055385,16.278821,16.763055,57.982756,122.560189,48.160631,0.939000ms,
Happy,9.000000,10.049876,16.124515,18.027756,57.454330,122.004098,50.206196,1.049000ms,
Happy,11.180340,12.041595,15.297059,15.811388,54.918121,119.037809,46.091236,1.147000ms,
Neutral,11.180340,12.165525,13.152946,13.928388,54.918121,116.811814,38.570390,1.238000ms,
Neutral,11.045361,12.041595,13.000000,14.560220,54.378304,116.619038,41.027249,1.345000ms,
Happy,11.045361,11.045361,15.132746,13.341664,54.918121,118.848643,47.472312,1.456000ms,
Happy,12.369317,13.152946,14.142136,13.341664,53.823787,117.923704,41.975997,1.553000ms,
Happy,13.038405,14.142136,14.317821,14.560220,53.254108,118.701306,44.027939,1.647000ms,
Neutral,14.000000,14.035669,14.142136,14.560220,53.254108,118.186294,29.031565,1.743000ms,
Neutral,15.033296,13.038405,15.297059,13.601471,53.600373,116.867446,28.508165,1.845000ms,
Neutral,14.035669,13.038405,15.132746,14.317821,52.697249,119.100798,29.075171,1.953000ms,
Neutral,14.035669,14.035669,15.297059,14.560220,53.823787,118.186294,28.033827,2.048000ms,
Neutral,15.033296,14.035669,16.124515,13.601471,54.405882,116.867446,28.487681,2.143000ms,
Neutral,13.152946,14.035669,15.132746,13.601471,55.470713,117.686023,28.546479,2.237000ms,
Neutral,13.000000,13.152946,14.142136,14.560220,54.918121,119.507322,29.502052,2.348000ms,
Neutral,12.000000,12.041595,17.117243,14.317821,54.083269,118.701306,34.020671,2.442000ms,
Neutral,15.033296,14.035669,15.033296,14.560220,53.254108,118.308918,33.000000,2.534000ms,
Neutral,14.035669,12.165525,15.033296,13.341664,53.254108,116.077560,39.498480,2.643000ms,
Neutral,14.000000,13.152946,13.038405,13.601471,52.430907,116.077560,37.494357,2.752000ms,
