Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Neutral,13.152946,13.038405,22.825424,21.189620,54.451814,43.011626,19.308505,0.268000ms,
Neutral,14.142136,14.035669,22.825424,23.769729,53.037722,40.521599,21.250436,0.550000ms,
Neutral,13.341664,13.000000,21.954498,23.769729,53.037722,42.449971,21.232083,0.832000ms,
Neutral,13.152946,14.035669,21.470911,25.079872,51.662365,41.761226,19.948779,1.106000ms,
